PictureFile,Category
rhinoceros.a.png,7
ring.a.png,1
horse.a.png,7
shovel.png,2
bathtub.png,3
brush.a.png,3
sock.a.png,8
tea.a.png,1
glasses.a.png,9
magnet.png,5
rock.a.png,9
hammer.a.png,2
girl.png,7
drawer.a.png,2
peas.png,7
mop.png,3
tent.png,7
box.png,1
shoe.png,1
basket.a.png,1
dress.png,2
mixer.png,7
balloon.b.png,3
camel.png,7
hand.a.png,6
screw.a.png,9
plug.a.png,1
jar.a.png,3
rope.png,3
shark.png,2
snail.a.png,2
cherry.a.png,2
nose.a.png,2
hair.b.png,5
spider.a.png,4
fork.a.png,5
knife.a.png,7
candle.a.png,9
column.a.png,9
ship.a.png,2
tree.png,5
pants.a.png,5
medal.a.png,6
rain.png,2
bus.a.png,7
diaper.a.png,1
gorilla.png,5
bridge.png,3
drum.a.png,8
mask.a.png,5
pyramid.a.png,4
sun.a.png,8
flower.a.png,4
vase.a.png,9
cork.a.png,8
heart.a.png,1
butterfly.a.png,2
cup.a.png,6
eye.png,2
island.png,3
airplane.png,1
mirror.png,6
coffeepot.a.png,8
frog.a.png,2
mountain.png,7
fox.a.png,7
microscope.png,8
lightning.a.png,6
elephant.a.png,1
chair.a.png,9
apple.a.png,8
giraffe.a.png,2
pig.a.png,4
beard.png,9
zebra.a.png,5
telescope.png,6
popcorn.png,4
tiger.png,8
castle.png,9
hose.png,7
cookie.png,1
wing.a.png,2
lips.a.png,9
skunk.a.png,5
train.a.png,6
flag.png,7
monkey.a.png,4
book.a.png,7
plant.a.png,6
shoulder.a.png,7
