PictureFile,Category
hanger.a.png,6
bear.a.png,2
wallet.png,4
egg.png,1
helicopter.a.png,9
squirrel.a.png,4
tomato.a.png,6
backpack.png,9
church.a.png,6
star.png,2
towel.png,4
roof.png,1
kangaroo.a.png,7
cane.png,3
deer.a.png,4
scorpion.a.png,1
chimney.a.png,3
shower.a.png,4
bench.png,6
iron.a.png,5
suitcase.a.png,7
moon.a.png,7
crown.png,1
music.png,6
rabbit.a.png,9
coat.a.png,6
match.a.png,3
octopus.png,4
guitar.a.png,4
volcano.png,8
turtle.a.png,3
rocket.png,5
skis.png,1
man.png,6
ball.png,8
pillow.a.png,5
boot.png,1
flute.a.png,3
telephone.a.png,5
bandage.png,1
lock.a.png,5
mushroom.a.png,3
skirt.a.png,3
heel.a.png,6
mailbox.png,7
present.png,4
bow.a.png,5
microphone.png,8
lion.png,5
goat.a.png,4
pineapple.a.png,3
duck.a.png,1
chess.a.png,6
ashtray.b.png,4
celery.a.png,3
needle.png,7
grasshopper.a.png,5
potato.a.png,5
swing.png,9
handcuffs.png,9
tie.a.png,2
bell.a.png,9
ladder.png,6
bicycle.a.png,5
skeleton.png,6
plate.png,8
ant.png,2
camera.a.png,2
cube.a.png,7
garbage.png,4
refrigerator.a.png,8
milk.a.png,8
ear.a.png,2
fence.a.png,9
parachute.a.png,6
arrow.png,5
umbrella.a.png,4
safetypin.png,7
racket.a.png,1
scissors.a.png,5
cat.a.png,8
sword.a.png,3
wine.a.png,9
stroller.a.png,5
cheese.png,1
kite.png,7
puzzle.png,8
dinosaur.a.png,9
cage.a.png,2
hamburger.png,2
